STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,COMMODITY,Commodity,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION_ID,Version ID,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2018,,8.46,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2019,,8.9,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2020,,8.2,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2021,,7.54,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2022,,7.54,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2023,,6.21,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2024,,6.09,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2025,,6.22,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2026,,6.13,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2027,,6.09,,A,Normal value,3,Thousands,2,Two,,
